Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",295.000 €,Apartamento,3,1,71
"Lumiar, Lisboa",780.000 €,Apartamento,3,3,151
"Massamá 6ª Fase, Sintra",Sob Consulta,Apartamento,2,1,79
"Casal de São Brás, Amadora",185.000 €,Apartamento,2,1,70
"Bairro do Rosário, Cascais",525.000 €,Apartamento,2,1,60
"Cascais e Estoril, Lisboa",350.000 €,Apartamento,1,1,71
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",195.000 €,Apartamento,2,1,3
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",198.500 €,Apartamento,2,1,3
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",195.000 €,Apartamento,3,1,2
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",215.000 €,Apartamento,3,2,
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",187.500 €,Apartamento,3,1,1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",187.500 €,Apartamento,3,1,1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",148.500 €,Apartamento,1,1,0
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",189.500 €,Apartamento,2,1,0
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",185.000 €,Apartamento,2,1,3
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",198.500 €,Apartamento,2,1,3
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",198.500 €,Apartamento,3,1,2
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",189.750 €,Apartamento,2,1,2
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",215.000 €,Apartamento,3,1,1
"Alvalade, Lisboa",1.650.000 €,Apartamento,4,3,221
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",198.500 €,Apartamento,2,1,1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",99.850 €,Apartamento,2,1,0
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",179.500 €,Apartamento,2,1,0
"Algueirão, Sintra",Sob Consulta,Apartamento,2,1,58
"Algueirão-Mem Martins, Lisboa",277.000 €,Apartamento,3,2,124
"Parque das Nações, Lisboa",290.000 €,Apartamento,2,1,70
"Costa da Caparica, Setúbal",550.000 €,Apartamento,3,1,85
"Olivais, Lisboa",Sob Consulta,Apartamento,3,1,70
"Miraflores, Oeiras",620.000 €,Apartamento,3,3,124
"Ajuda, Lisboa",340.000 €,Apartamento,2,1,62
"Mina de Água, Lisboa",239.900 €,Apartamento,3,2,80
"Estrela, Lisboa",450.000 €,Apartamento,3,2,79
"Águas Livres, Lisboa",210.000 €,Apartamento,2,1,70
"Quinta da Fontareira, Sintra",Sob Consulta,Apartamento,1,1,72
"Queluz, Sintra",219.000 €,Apartamento,3,1,77
"Cacém, Sintra",117.000 €,Apartamento,0,1,29
"Cacilhas, Almada",199.500 €,Apartamento,3,1,74
"Santo António, Lisboa",1.280.000 €,Apartamento,4,4,148
"Cascais e Estoril, Lisboa",475.000 €,Moradia Geminada,2,2,50
"Centro de Carnaxide, Oeiras",320.000 €,Apartamento,2,2,70
"Alfragide, Lisboa",410.000 €,Apartamento,3,2,123
"Alcabideche, Lisboa",2.000.000 €,Moradia Isolada,3,1,71
"São Domingos de Benfica, Lisboa",255.000 €,Apartamento,3,1,74
